,game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
43,3298468,RU1,2019,21. Matchday,2020-03-09,964.0,28095.0,0.0,0.0,1.0,8.0,Sergey Semak,Vadim Evseev,Gazprom Arena,42191.0,Aleksey Sukhoy,https://www.transfermarkt.co.uk/zenit-st-petersburg_fc-ufa/index/spielbericht/3298468,4-2-3-1,5-4-1,AO FK Zenit Sankt-Peterburg,FK Ufa,0:0,domestic_league
44,3300411,GRP,2019,last 16 2nd leg,2020-01-30,2441.0,6676.0,2.0,0.0,,,Massimo Carrera,Milan Rastavac,"Olympiakó Stádio Athinon ""Spyros Louis""",,Dimitrios Maloutas,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3300411,4-3-3 Attacking,4-2-3-1,Athlitiki Enosi Konstantinoupoleos,A.G.S Asteras Tripolis,2:0,domestic_cup
45,3302919,BE1,2019,24. Matchday,2020-02-01,354.0,157.0,0.0,3.0,8.0,2.0,Wouter Vrancken,Jess Thorup,AFAS Stadion,16069.0,Jan Boterberg,https://www.transfermarkt.co.uk/kv-mechelen_kaa-gent/index/spielbericht/3302919,4-2-3-1,4-3-1-2,Yellow-Red Koninklijke Voetbalclub Mechelen,Koninklijke Atletiek Associatie Gent,0:3,domestic_league
46,3302945,BE1,2019,27. Matchday,2020-02-23,58.0,1245.0,6.0,1.0,8.0,13.0,Frank Vercauteren,Beñat San José,Lotto Park,20000.0,Alexandre Boucaut,https://www.transfermarkt.co.uk/rsc-anderlecht_kas-eupen/index/spielbericht/3302945,4-3-3 Defending,5-3-2,Royal Sporting Club Anderlecht,KAS Eupen,6:1,domestic_league
47,3302951,BE1,2019,28. Matchday,2020-02-29,1096.0,2861.0,3.0,1.0,4.0,15.0,László Bölöni,Dennis van Wijk,De Bosuil,11012.0,Bert Put,https://www.transfermarkt.co.uk/royal-antwerp-fc_kv-oostende-2024-/index/spielbericht/3302951,4-2-3-1,3-4-1-2,Royal Antwerp Football Club,KV Oostende,3:1,domestic_league
48,3305601,CIT,2019,Quarter-Finals,2020-01-21,6195.0,398.0,1.0,0.0,,,Gennaro Gattuso,Simone Inzaghi,Diego Armando Maradona,24377.0,Davide Massa,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3305601,4-3-3 Attacking,3-5-2 flat,Società Sportiva Calcio Napoli,Società Sportiva Lazio S.p.A.,1:0,domestic_cup
49,3328970,SFA,2019,Semi-Finals,2020-11-01,371.0,370.0,2.0,0.0,,,Neil Lennon,Derek McInnes,Hampden Park,,Don Robertson,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3328970,4-2-3-1,3-4-2-1,The Celtic Football Club,Aberdeen Football Club,2:0,domestic_cup
50,3330510,UKR1,2019,21. Matchday,2020-03-04,23611.0,16239.0,1.0,2.0,10.0,4.0,Vicente Gómez,Oleksandr Ryabokon,Stadion im. Valeriya Lobanovskogo,320.0,Viktor Kopiyevskyi,https://www.transfermarkt.co.uk/olimpik-donetsk_desna-chernigiv/index/spielbericht/3330510,4-1-4-1,4-2-3-1,Olimpik Donetsk,Desna Chernigiv,1:2,domestic_league
51,3331415,RUP,2019,Semi-Finals,2020-07-19,964.0,232.0,2.0,1.0,,,Sergey Semak,Domenico Tedesco,Gazprom Arena,7548.0,Sergey Ivanov,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3331415,4-4-2 double 6,3-5-2 Attacking,AO FK Zenit Sankt-Peterburg,FK Spartak Moskva,2:1,domestic_cup
52,3332668,DFB,2019,Semi-Finals,2020-06-10,27.0,24.0,2.0,1.0,,,Hansi Flick,Adi Hütter,Allianz Arena,,Marco Fritz,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3332668,4-2-3-1,5-3-2,FC Bayern München,Eintracht Frankfurt Fußball AG,2:1,domestic_cup
53,3388674,FAC,2019,Quarter-Finals,2020-06-27,1123.0,985.0,1.0,2.0,,,Daniel Farke,Ole Gunnar Solskjær,Carrow Road,,Jonathan Moss,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3388674,4-1-4-1,4-2-3-1,Norwich City,Manchester United Football Club,1:2,domestic_cup
54,3393781,SC1,2020,3. Matchday,2020-08-12,124.0,2578.0,3.0,0.0,1.0,11.0,Steven Gerrard,Callum Davidson,Ibrox Stadium,,Euan Anderson,https://www.transfermarkt.co.uk/rangers-fc_st-johnstone-fc/index/spielbericht/3393781,4-3-3 Attacking,3-4-2-1,Rangers Football Club,Saint Johnstone Football Club,3:0,domestic_league
