,club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
23,5358,sd-huesca,SD Huesca,ES1,,24,27.5,8,33.3,2,El Alcoraz,9128,+€1.43m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
24,603,cardiff-city,Cardiff City,GB1,,28,25.5,24,85.7,8,Cardiff City Stadium,33280,€-655k,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
25,60551,sk-dnipro-1,SC Dnipro-1,UKR1,,0,0.0,0,,0,Dnipro-Arena,31003,+€6.90m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sk-dnipro-1/startseite/verein/60551
26,6996,goverla-uzhgorod,Goverla Uzhgorod (- 2016),UKR1,,0,,0,,0,Avangard,10640,+-0,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/goverla-uzhgorod/startseite/verein/6996
27,8024,fc-arouca,Futebol Clube de Arouca,PO1,,26,26.0,18,69.2,2,Estádio Municipal de Arouca,5600,+€15.10m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-arouca/startseite/verein/8024
28,868,mke-ankaragucu,MKE Ankaragücü,TR1,,34,26.2,13,38.2,6,Eryaman Stadyumu,20672,+€895k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/mke-ankaragucu/startseite/verein/868
29,903,hibernian-fc,Hibernian Football Club,SC1,,25,26.8,20,80.0,6,Easter Road Stadium,20250,€-521k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/hibernian-fc/startseite/verein/903
30,969,montpellier-hsc,Montpellier Hérault Sport Club,FR1,,25,26.6,15,60.0,6,Stade de la Mosson,22000,+€27.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
31,989,afc-bournemouth,Association Football Club Bournemouth,GB1,,25,24.8,18,72.0,14,Vitality Stadium,11307,€-60.79m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
32,993,fc-cordoba,Córdoba CF,ES1,,24,27.9,4,16.7,0,Nuevo Arcángel,21822,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
33,1025,fc-bologna,Bologna Football Club 1909,IT1,,28,26.2,19,67.9,14,Stadio Renato Dall’Ara,36462,+€51.67m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
34,1082,losc-lille,Lille Olympique Sporting Club,FR1,,26,27.2,18,69.2,12,Decathlon Arena-Stade Pierre-Mauroy,50186,+€39.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
35,1160,nimes-olympique,Nîmes Olympique,FR1,,26,25.4,12,46.2,3,Stade des Antonins,8033,+€2.50m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
36,11688,giresunspor,Giresunspor,TR1,,17,22.5,1,5.9,1,Çotanak Spor Kompleksi,21500,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/giresunspor/startseite/verein/11688
37,124,glasgow-rangers,Rangers Football Club,SC1,,25,26.0,21,84.0,9,Ibrox Stadium,50987,€-13.91m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/glasgow-rangers/startseite/verein/124
38,1465,gd-estoril-praia,Grupo Desportivo Estoril Praia,PO1,,25,24.8,17,68.0,4,Estádio António Coimbra da Mota,5100,+€5.75m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/gd-estoril-praia/startseite/verein/1465
39,2477,karpaty-lviv,Karpaty Lviv (-2021),UKR1,,0,,0,,0,Stadion Ukraina,28051,+-0,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/karpaty-lviv/startseite/verein/2477
40,2553,kilmarnock-fc,Kilmarnock Football Club,SC1,,24,27.3,9,37.5,2,"BBSP Stadium, Rugby Park",18128,+-0,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/kilmarnock-fc/startseite/verein/2553
41,2672,apo-levadiakos,APO Levadiakos Football Club,GR1,,29,26.8,16,55.2,2,Stadio Livadias,5915,+-0,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/apo-levadiakos/startseite/verein/2672
42,2740,vorskla-poltava,Vorskla Poltava,UKR1,,26,25.4,5,19.2,1,Vorskla im. Oleksiy Butovskyi,23842,+€2.60m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/vorskla-poltava/startseite/verein/2740
43,3008,hull-city,Hull City,GB1,,28,25.0,17,60.7,6,MKM Stadium,25586,+€7.50m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
44,31,fc-liverpool,Liverpool Football Club,GB1,,25,26.6,18,72.0,22,Anfield,61276,+€5.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31
45,336,sporting-lissabon,Sporting Clube de Portugal,PO1,,27,24.3,14,51.9,13,Estádio José Alvalade,50095,€-16.61m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sporting-lissabon/startseite/verein/336
46,3911,stade-brest-29,Stade brestois 29,FR1,,26,27.1,10,38.5,6,Stade Francis-Le Blé,15220,€-5.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
